number,title,path,source_table,sample_size,verification_status,figure_sha256
1,Biology has the fewest usable questions,reports/figures/01_subject_distribution.png,01_subject_distribution.csv,4408,verified,7e596f47c795679157d08eb0c53727efe12621a4043f92ff39b66234462dd549
2,Source composition differs across STEM subjects,reports/figures/02_subject_by_source.png,02_source_distribution.csv,4408,verified,4585f0ad59aea57211d03964984b016d30c09dfa9c54b5564c99119e9b98d893
3,Average question length varies by subject,reports/figures/03_question_length.png,04_text_length.csv,4408,verified,7d483e36a377822f43d8084d2aae11704395ac1a55c2470f5c297d4e70263648
4,The controlled table passes required-field checks,reports/figures/04_data_quality.png,03_data_quality.csv,4408,verified,7ebce273c76e8a6e4d6d00e0712363edcc7c36b52ce6adc895d6bee303a27a1d
5,Development and final-test splits retain all four subjects,reports/figures/05_split_distribution.png,05_split_integrity.csv,4408,verified,04ceec6bcd385fa7feb60c31b18980724a2c768099658ba7b4cef0de6f60ca92
6,LinearSVC led development-only model selection,reports/figures/06_model_comparison.png,model_comparison.csv,3778,verified,aee9a14f615f5f951f307736c766a00e3840f65449094330631429948c79ce28
7,Most final-test questions lie on the confusion-matrix diagonal,reports/figures/07_confusion_matrix.png,final_test_metrics.json,630,verified,da614cfb7913d3023bc26e2f349384fe2744ebe1c4661ad76d3e15140980df89
8,Chemistry is the weakest final-test class,reports/figures/08_per_class_metrics.png,per_class_metrics.csv,630,verified,4027d219fa79d021780eae4b9837ed5a48915ceafc04a897682f239dbc93aff7
9,Candidate performance is stable across grouped folds,reports/figures/09_cv_fold_variation.png,cv_fold_variation.csv,3778,verified,5f8bbad24b1b6a2cac20996940628bac3330744f62b9275ac0230221f7dedd34
10,Errors vary by subject and question length,reports/figures/10_error_slices.png,error_slices.csv,630,verified,d1004c82cba091fd6d6d2b2657df11c9ff68832dfdee75ff0850df557cf3f2ab
11,Confidence/coverage is intentionally not claimed,reports/figures/11_confidence_coverage.png,confidence_coverage.csv,630,verified,e8fa8a546651a624f63e5849a8a567d273485fb58c3e9fa289fb04551660fe02
12,Validation performance improves as development data grows,reports/figures/12_learning_curve.png,learning_curve.csv,3778,verified,021a53ece5cd783ec86534f8e4702c618e1bfe084ddf05713e4a81accba97b06
