question_id,subject,question_text,annotator_id,intent_label,confidence,notes
2894,biology,The percentage of successful single pairmatingsobserved forone hour in Drosophilamelanogastercultures showed thefollowing: Matings Before crossing wild stock with yellow stock for 7generations After crossing wild stock with yellow stock for 7generations WT male × WT female 62 75 Yellow male × WT female 34 47 WT male × yellow female 87 81 Yellow male × yellow female 78 59 Yellow is a recessive mutant strain of flies that is phenotypicallyexpressed as a yellow rather than gray body. Explain how this mutation affects the mating behavior of D.melanogaster.,,,,
2895,biology,"Consider the ABO blood group locus in humans, which has six (6) alleles reported for it, of which three are most prominent, I^A, I^B andi. The I^A and I^B alleles are both dominant toiandcodominantto each other. A woman of blood group O marries a man who has blood group B. There are four children in the family: a son and daughter of blood group O; a daughter who has A blood type; and a son who has B blood type. One of the children is adopted. Which child is the adopted child?",,,,
2903,biology,"The four-legged land vertebrates (theamphibia, reptiles, birds and mammals) are placed together in thesuperclass Tetrapoda. Which animal was the firsttetrapodand what did it give rise to?",,,,
2960,biology,"Genetic variation occurs in bacteria as a result of mutations. This would seem to be the only process giving rise to variation , for bacteria reproduce through binary fission. Design an experiment to support the existence of another process that results in variation.",,,,
3118,biology,"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to",,,,
3254,biology,What trends in the evolution of the life cycle are evident from the algae to flowering plants?,,,,
3289,biology,"In peas, tall (D) is dominant to dwarf (d) and yellow cotyledons (G) is dominant to green (g). If a tall, heterozygous pea plant with green cotyledons is crossed with a dwarf pea plant heterozygous for yellow cotyledons, what will be the phenotypic results in the progeny?",,,,
3389,biology,"In chloroplasts, a certain protein is found in the lumen of the thylakoid (thylakoid space). It is transcribed in the nucleus and synthesized on cytoplasmic ribosomes. How many membrane bilayers must this protein cross to reach its final location?",,,,
3501,biology,What is implied by the theory ofuniformitarianism?,,,,
3516,biology,How does a facultative anaerobe differ from anobligatory anaerobe?,,,,
3609,chemistry,"A 2-liter Dumas bulb contains n moles of nitrogen at 0.5atm pressure and at T°K. On addition of 0.01 moles of oxygen, it is necessary to cool the bulb to a temperature of 10°C in order to maintain the same pressure. Calculate n and T.",,,,
3630,chemistry,Chlorine gas reacts most readily with,,,,
3831,chemistry,"Assume that all gases are perfect and that data refer to 298.15 K unless otherwise stated. Calculate the total change in entropy, when a sample of nitrogen gas of mass $14 \mathrm{~g}$ at $298 \mathrm{~K}$ and $1.00 \mathrm{bar}$ doubles its volume in an adiabatic reversible expansion.",,,,
3982,chemistry,"Each resonance form of the nitrate ion, NO3-, has how many sigma and how many pi bonds?",,,,
4099,chemistry,"Assume all gases are perfect unless stated otherwise. Unless otherwise stated, thermodynamic data are for 298.15 K. Calculate the work needed for a $65 \mathrm{~kg}$ person to climb through $4.0 \mathrm{~m}$ on the surface of the Earth.",,,,
4110,chemistry,The freezing point constant of toluene is 3.33°C per mole per 1000 g. Calculate the freezing point of a solution prepared by dissolving 0.4 mole of solute in 500 g of toluene. The freezing point of toluene is - 95.0°C.,,,,
4167,chemistry,Calculate the Larmor frequency for a proton in a magnetic field of 1 T.,,,,
4200,chemistry,"Calculate the voltage (E) of a cell with E° = 1.1 volts, If the copper half-cell is at standard conditions but the zinc ion concentra-tion is only .001 molar. Temperature is 25°c . The overall reaction is Zn + Cu^+2 \rightarrow Cu + Zn^+2.",,,,
4459,chemistry,"The spherical atomic nucleus of potassium has a radius of about 4 × 10^-13 cm.; 6.02 × 10^23 of these nuclei weigh about 39 g. Calculate the approximate density of the nucleus of potassium in tons per cubic centimeter. Volume of a sphere = 4/3 \pir^3, where r is the radius.",,,,
4595,chemistry,Calculate the approximate molar weight of 35.0 grams of a non--electrolyte in solution with 100mlwater. The boiling point of the solution is 102.16 C.,,,,
7813,math,What value of y makes y + 2.9 = 11 true?,,,,
7884,math,"9.6-111. Let $X$ and $Y$ have a bivariate normal distribution with correlation coefficient $\rho$. To test $H_0: \rho=0$ against $H_1: \rho \neq 0$, a random sample of $n$ pairs of observations is selected. Suppose that the sample correlation coefficient is $r=0.68$. Using a significance level of $\alpha=0.05$, find the smallest value of the sample size $n$ so that $H_0$ is rejected.",,,,
7998,math,A poker hand is defined as drawing 5 cards at random without replacement from a deck of 52 playing cards. Find the probability of four of a kind (four cards of equal face value and one card of a different value).,,,,
8041,math,Suppose today is Wednesday. What day of the week will it be 10^(10^(10)) days from now?,,,,
8328,math,6.3-5. Let $Y_1 < Y_2 < \cdots < Y_8$ be the order statistics of eight independent observations from a continuous-type distribution with 70 th percentile $\pi_{0.7}=27.3$. (a) Determine $P\left(Y_7<27.3\right)$.,,,,
8384,math,How many of the 401 integers from $-200$ to $200$ are congruent to $5 \pmod{13}?$,,,,
8674,math,Assume that the masses of chicken eggs are normally distributed with a mean of 45 g and a standard deviation of 4 g. What mass of egg would be the 25th percentile of the masses of all the eggs?,,,,
8716,math,"When the graph of a certain function $f(x)$ is shifted $2$ units to the right and stretched vertically by a factor of $2$ (meaning that all $y$-coordinates are doubled), the resulting figure is identical to the original graph. Given that $f(0)=0.1$, what is $f(10)$?",,,,
8790,math,Find the product of −8 • (−4).,,,,
8820,math,"The school principal has to have three different teachers speak at the graduation ceremony—one as the opener, one as the name-reader, and one as the closer. There are 85 teachers on staff. How many possible speaking lineups can the principal have?",,,,
9111,physics,"Two ice skaters are moving on frictionless ice and are about to collide. The 50-kg skater is moving directly west at 4 m/s. The 75-kg skater is moving directly north at 2 m/s. After the collision they stick together. For this scenario, which of the following is true?",,,,
9147,physics,A particle of charge $1.8 \mu \mathrm{C}$ is at the center of a Gaussian cube $55 \mathrm{~cm}$ on edge. What is the net electric flux through the surface?,,,,
9440,physics,Incompressible oil of density 850 kg/m^3 is pumped through a cylindrical pipe at a rate of 9.5 liters per second. The second section of the pipe has a diameter of 4.0 cm. What are the flow speed in that section? (Unit: m/s),,,,
9523,physics,"Using the speed of sound at sea level as approximately 750 miles per hour, what is the velocity of a jet plane traveling at Mach Number 2.2?",,,,
9762,physics,"A thick lens, which has principal points at \alpha = 1.2 cm and \beta = - 0.8 cm, forms an image of a distant object 19.2 cm from the second surface of the lens. Find the position of the image of an object placed 38.8 cm from the first face. The sign convention used is that distances are positive if measured in the direction of light propagation and negative if measured in the opposite direction; \alpha is measured from the first surface of the lens and \beta from the second.",,,,
9858,physics,"One of the tubes of a Rayleighrefractometeris filled with air, the other is evacuated. Then the second tube is filled with air at the same temperature and pressure as the first tube. During this process 98 fringes are seen to pass the field of view. What is the index of refraction of the air if sodium light is used and the tubes are each 20 cm long?",,,,
9890,physics,"What is the force between two positive charges of 100\mu coulombs and 200\mu coulombs, respectively, when they are separated a distance of 3 centimeters?",,,,
